Date,VNI_Close,Change,Volume,Transaction_value,a,b,c,d
23/10/2020,"961,26","+11,36(+1,20%)",452.492.266,"9.460,06 tỷ",51.034.067,"1.202,37 tỷ",58.390.967,"1.440,48 tỷ"
22/10/2020,"949,90","+10,87(+1,16%)",365.115.464,"7.308,15 tỷ",31.895.791,"571,35 tỷ",46.348.201,"1.172,74 tỷ"
21/10/2020,"939,03","-5,39(-0,57%)",412.650.340,"8.395,56 tỷ",27.134.530,"623,95 tỷ",35.127.930,"981,58 tỷ"
20/10/2020,"944,42","+0,73(+0,08%)",444.327.632,"9.190,83 tỷ",29.542.257,"774,83 tỷ",66.045.713,"1.682,88 tỷ"
19/10/2020,"943,69","+0,39(+0,04%)",389.468.232,"7.881,90 tỷ",23.729.573,"725,25 tỷ",35.558.423,"1.085,92 tỷ"
16/10/2020,"943,30","+0,54(+0,06%)",443.329.721,"9.275,54 tỷ",31.364.930,"864,13 tỷ",47.700.029,"1.291,49 tỷ"
15/10/2020,"942,76","+2,58(+0,27%)",470.505.206,"9.406,62 tỷ",35.836.687,"1.118,50 tỷ",44.256.427,"1.385,67 tỷ"
14/10/2020,"940,18","+10,32(+1,11%)",474.920.831,"14.399,10 tỷ",70.009.611,"5.988,75 tỷ",90.701.181,"6.548,75 tỷ"
13/10/2020,"929,86","+4,03(+0,44%)",359.015.145,"6.503,59 tỷ",17.486.441,"515,45 tỷ",17.192.171,"541,89 tỷ"
12/10/2020,"925,83","+1,83(+0,20%)",457.229.293,"9.004,38 tỷ",18.878.220,"498,68 tỷ",34.426.859,"875,50 tỷ"
09/10/2020,"924,00","+5,16(+0,56%)",388.133.119,"6.644,67 tỷ",20.218.300,"458,65 tỷ",22.641.997,"496,24 tỷ"
08/10/2020,"918,84","-0,88(-0,10%)",470.304.445,"7.946,26 tỷ",26.707.712,"678,38 tỷ",34.344.952,"772,10 tỷ"
07/10/2020,"919,72","+4,05(+0,44%)",523.961.365,"8.784,49 tỷ",19.855.970,"473,94 tỷ",28.370.267,"668,15 tỷ"
06/10/2020,"915,67","+0,99(+0,11%)",496.132.393,"8.205,02 tỷ",26.979.220,"778,92 tỷ",28.257.298,"877,33 tỷ"
05/10/2020,"914,68","+4,77(+0,52%)",456.101.119,"7.302,21 tỷ",29.138.000,"555,25 tỷ",31.606.281,"735,95 tỷ"
02/10/2020,"909,91","-4,18(-0,46%)",527.158.154,"8.592,17 tỷ",15.898.370,"344,53 tỷ",29.602.890,"622,42 tỷ"
01/10/2020,"914,09","+8,88(+0,98%)",352.448.619,"6.761,68 tỷ",12.973.090,"322,19 tỷ",22.451.058,"591,55 tỷ"
30/09/2020,"905,21","+1,23(+0,14%)",340.685.594,"6.359,63 tỷ",16.026.212,"280,88 tỷ",21.221.462,"530,18 tỷ"
29/09/2020,"903,98","-8,52(-0,93%)",465.359.349,"8.527,35 tỷ",25.788.240,"548,19 tỷ",43.678.134,"1.141,72 tỷ"
28/09/2020,"912,50","+4,23(+0,47%)",420.240.133,"7.250,99 tỷ",19.783.930,"396,82 tỷ",29.008.400,"782,80 tỷ"
25/09/2020,"908,27","-0,31(-0,03%)",361.232.130,"6.275,15 tỷ",13.316.020,"310,52 tỷ",21.506.770,"443,49 tỷ"
24/09/2020,"908,58","-3,92(-0,43%)",398.464.411,"6.408,17 tỷ",22.454.500,"495,46 tỷ",27.358.940,"617,17 tỷ"
